word,stratum,n_valid_sources,all_unlikely,pipeline_checks_passed,gemini_source
absentation,4+,6,False,True,enhanced_6thread_revalidation
absentations,2,2,False,True,enhanced_6thread_revalidation
absequent,1,1,False,True,enhanced_6thread_revalidation
absetzer,1,1,False,True,enhanced_6thread_revalidation
absinthia,1,1,False,True,enhanced_6thread_revalidation
absohm,4+,5,False,True,enhanced_6thread_revalidation
absohms,2,2,False,True,enhanced_6thread_revalidation
absolutarian,1,1,False,True,enhanced_6thread_revalidation
absorbedness,4+,5,False,True,enhanced_6thread_revalidation
absorbently,2,2,False,True,enhanced_6thread_revalidation
absorptionism,1,1,False,True,enhanced_6thread_revalidation
abstainedst,1,1,False,True,enhanced_6thread_revalidation
abstergens,1,1,False,True,enhanced_6thread_revalidation
absterse,3,3,False,True,enhanced_6thread_revalidation
abstersed,1,1,False,True,enhanced_6thread_revalidation
absterses,1,1,False,True,enhanced_6thread_revalidation
abstersing,1,1,False,True,enhanced_6thread_revalidation
abstort,2,2,False,True,enhanced_6thread_revalidation
abstrusively,1,1,False,True,enhanced_6thread_revalidation
absurdistic,1,1,False,True,enhanced_6thread_revalidation
abutts,2,2,False,True,enhanced_6thread_revalidation
academian,4+,6,False,True,enhanced_6thread_revalidation
academians,4+,4,False,True,enhanced_6thread_revalidation
academised,4+,4,False,True,enhanced_6thread_revalidation
academization,4+,6,False,True,enhanced_6thread_revalidation
academizations,1,1,False,True,enhanced_6thread_revalidation
academize,4+,5,False,True,enhanced_6thread_revalidation
academized,4+,4,False,True,enhanced_6thread_revalidation
academizes,1,1,False,True,enhanced_6thread_revalidation
academizing,3,3,False,True,enhanced_6thread_revalidation
acadialite,4+,5,False,True,enhanced_6thread_revalidation
acaju,2,2,False,True,enhanced_6thread_revalidation
acalabrutinib,3,3,False,True,enhanced_6thread_revalidation
acalepha,4+,4,False,True,enhanced_6thread_revalidation
acalephas,1,1,False,True,enhanced_6thread_revalidation
acalephoid,4+,5,False,True,enhanced_6thread_revalidation
acalycinous,4+,4,False,True,enhanced_6thread_revalidation
acalyculate,4+,4,False,True,enhanced_6thread_revalidation
acalypha,4+,8,False,True,enhanced_6thread_revalidation
acalyphas,3,3,False,True,enhanced_6thread_revalidation
acamerate,2,2,False,True,enhanced_6thread_revalidation
acamprosate,3,3,False,True,enhanced_6thread_revalidation
acanthaster,2,2,False,True,enhanced_6thread_revalidation
acanthicus,2,2,False,True,enhanced_6thread_revalidation
acanthifolius,2,2,False,True,enhanced_6thread_revalidation
acanthiformis,1,1,False,True,enhanced_6thread_revalidation
acanthis,2,2,False,True,enhanced_6thread_revalidation
acanthocephala,4+,6,False,True,enhanced_6thread_revalidation
acanthuroidei,2,2,False,True,enhanced_6thread_revalidation
acanthurus,4+,6,False,True,enhanced_6thread_revalidation
acanthylis,2,2,False,True,enhanced_6thread_revalidation
acapnea,1,1,False,True,enhanced_6thread_revalidation
acarauna,1,1,False,True,enhanced_6thread_revalidation
acaridae,4+,4,False,True,enhanced_6thread_revalidation
acauan,1,1,False,True,enhanced_6thread_revalidation
accademical,1,1,False,True,enhanced_6thread_revalidation
accelerances,1,1,False,True,enhanced_6thread_revalidation
accelerase,1,1,False,True,enhanced_6thread_revalidation
accelerin,2,2,False,True,enhanced_6thread_revalidation
accelerity,1,1,False,True,enhanced_6thread_revalidation
accendent,2,2,False,True,enhanced_6thread_revalidation
accensed,3,3,False,True,enhanced_6thread_revalidation
accentism,1,1,False,True,enhanced_6thread_revalidation
accentlessly,1,1,False,True,enhanced_6thread_revalidation
accentlessness,2,2,False,True,enhanced_6thread_revalidation
accentus,4+,6,False,True,enhanced_6thread_revalidation
acceptanda,1,1,False,True,enhanced_6thread_revalidation
accipitridae,4+,4,False,True,enhanced_6thread_revalidation
accipitriformes,0,0,True,False,multi_thread_revalidation
accipitrinae,0,0,True,False,multi_thread_revalidation
acclamating,1,1,False,True,enhanced_6thread_revalidation
accordionwise,1,1,False,True,enhanced_6thread_revalidation
accostate,1,1,False,True,enhanced_6thread_revalidation
accoste,1,1,False,True,enhanced_6thread_revalidation
acenaphthyl,1,1,False,True,enhanced_6thread_revalidation
acephal,4+,5,False,True,enhanced_6thread_revalidation
acephalans,2,2,False,True,enhanced_6thread_revalidation
acephalians,1,1,False,True,enhanced_6thread_revalidation
aceramic,3,3,False,True,enhanced_6thread_revalidation
aceratheres,2,2,False,True,enhanced_6thread_revalidation
aceratheria,1,1,False,True,enhanced_6thread_revalidation
acerbation,2,2,False,True,enhanced_6thread_revalidation
acerbations,2,2,False,True,enhanced_6thread_revalidation
aceric,3,3,False,True,enhanced_6thread_revalidation
acervative,4+,4,False,True,enhanced_6thread_revalidation
acesulfamate,1,1,False,True,enhanced_6thread_revalidation
acesulfames,1,1,False,True,enhanced_6thread_revalidation
acetarsone,4+,5,False,True,enhanced_6thread_revalidation
achromatopic,1,1,False,True,enhanced_6thread_revalidation
achromatoscope,1,1,False,True,enhanced_6thread_revalidation
achromatosis,4+,5,False,True,enhanced_6thread_revalidation
achrometer,1,1,False,True,enhanced_6thread_revalidation
achromia,4+,6,False,True,enhanced_6thread_revalidation
achromophils,1,1,False,True,enhanced_6thread_revalidation
achromy,1,1,False,True,enhanced_6thread_revalidation
achronic,2,2,False,True,enhanced_6thread_revalidation
achronically,1,1,False,True,enhanced_6thread_revalidation
achronous,1,1,False,True,enhanced_6thread_revalidation
achylic,2,2,False,True,enhanced_6thread_revalidation
achylous,4+,5,False,True,enhanced_6thread_revalidation
acianthus,2,2,False,True,enhanced_6thread_revalidation
acibenzolar,2,2,False,True,enhanced_6thread_revalidation
acicle,2,2,False,True,enhanced_6thread_revalidation
acicles,2,2,False,True,enhanced_6thread_revalidation
aciculately,1,1,False,True,enhanced_6thread_revalidation
acidaemias,2,2,False,True,enhanced_6thread_revalidation
acidaspis,4+,5,False,True,enhanced_6thread_revalidation
acidate,1,1,False,True,enhanced_6thread_revalidation
acidfastness,1,1,False,True,enhanced_6thread_revalidation
acidifuge,1,1,False,True,enhanced_6thread_revalidation
acidloving,1,1,False,True,enhanced_6thread_revalidation
acidobacteriaceae,2,2,False,True,enhanced_6thread_revalidation
acidobacteriota,0,0,True,False,multi_thread_revalidation
acidobacterium,3,3,False,True,enhanced_6thread_revalidation
acidoclinata,1,1,False,True,enhanced_6thread_revalidation
acidocomplexes,1,1,False,True,enhanced_6thread_revalidation
acidoduric,1,1,False,True,enhanced_6thread_revalidation
acidoglycoprotein,1,1,False,True,enhanced_6thread_revalidation
acidoketosis,1,1,False,True,enhanced_6thread_revalidation
acidosome,2,2,False,True,enhanced_6thread_revalidation
acidotolerant,3,3,False,True,enhanced_6thread_revalidation
acidproofed,1,1,False,True,enhanced_6thread_revalidation
acidylation,1,1,False,True,enhanced_6thread_revalidation
acina,2,2,False,True,enhanced_6thread_revalidation
acine,2,2,False,True,enhanced_6thread_revalidation
acinetae,4+,4,False,True,enhanced_6thread_revalidation
acinonychinae,2,2,False,True,enhanced_6thread_revalidation
acipenseres,3,3,False,True,enhanced_6thread_revalidation
acipenseroides,1,1,False,True,enhanced_6thread_revalidation
acladiosis,1,1,False,True,enhanced_6thread_revalidation
aclinometra,1,1,False,True,enhanced_6thread_revalidation
acmaea,4+,6,False,True,enhanced_6thread_revalidation
acmaeodera,2,2,False,True,enhanced_6thread_revalidation
acmeist,3,3,False,True,enhanced_6thread_revalidation
acneous,1,1,False,True,enhanced_6thread_revalidation
acoela,4+,5,False,True,enhanced_6thread_revalidation
acoelan,1,1,False,True,enhanced_6thread_revalidation
acoelomous,4+,4,False,True,enhanced_6thread_revalidation
acone,4+,7,False,True,enhanced_6thread_revalidation
acotiamide,3,3,False,True,enhanced_6thread_revalidation
acotylean,1,1,False,True,enhanced_6thread_revalidation
acousmatization,1,1,False,True,enhanced_6thread_revalidation
acousmonium,3,3,False,True,enhanced_6thread_revalidation
acoustoelastic,2,2,False,True,enhanced_6thread_revalidation
acquiescement,4+,5,False,True,enhanced_6thread_revalidation
acraldehyde,4+,5,False,True,enhanced_6thread_revalidation
acridiidae,4+,4,False,True,enhanced_6thread_revalidation
acridoidea,2,2,False,True,enhanced_6thread_revalidation
acrivastine,3,3,False,True,enhanced_6thread_revalidation
acroatic,4+,5,False,True,enhanced_6thread_revalidation
acrocanthosaurus,2,2,False,True,enhanced_6thread_revalidation
acroform,2,2,False,True,enhanced_6thread_revalidation
acrograptus,1,1,False,True,enhanced_6thread_revalidation
acroinfundibulum,1,1,False,True,enhanced_6thread_revalidation
acromania,4+,5,False,True,enhanced_6thread_revalidation
acromantis,2,2,False,True,enhanced_6thread_revalidation
acronycta,4+,5,False,True,enhanced_6thread_revalidation
acronyctinae,1,1,False,True,enhanced_6thread_revalidation
acroporae,1,1,False,True,enhanced_6thread_revalidation
acrostatin,1,1,False,True,enhanced_6thread_revalidation
acrosticks,2,2,False,True,enhanced_6thread_revalidation
acryloyloxyethyl,1,1,False,True,enhanced_6thread_revalidation
acryloyloxymethyl,1,1,False,True,enhanced_6thread_revalidation
actinostreon,1,1,False,True,enhanced_6thread_revalidation
actinulidae,1,1,False,True,enhanced_6thread_revalidation
actrices,3,3,False,True,enhanced_6thread_revalidation
acuminulate,4+,6,False,True,enhanced_6thread_revalidation
acylpyrazolone,1,1,False,True,enhanced_6thread_revalidation
acylquinolinium,1,1,False,True,enhanced_6thread_revalidation
adderstongue,2,2,False,True,enhanced_6thread_revalidation
addictionist,1,1,False,True,enhanced_6thread_revalidation
addictionists,1,1,False,True,enhanced_6thread_revalidation
addictionologist,2,2,False,True,enhanced_6thread_revalidation
addictively,4+,6,False,True,enhanced_6thread_revalidation
addictiveness,4+,5,False,True,enhanced_6thread_revalidation
addictor,2,2,False,True,enhanced_6thread_revalidation
addictors,2,2,False,True,enhanced_6thread_revalidation
addisonia,2,2,False,True,enhanced_6thread_revalidation
addisonian,4+,7,False,True,enhanced_6thread_revalidation
additants,1,1,False,True,enhanced_6thread_revalidation
additionists,1,1,False,True,enhanced_6thread_revalidation
additivated,1,1,False,True,enhanced_6thread_revalidation
additivation,1,1,False,True,enhanced_6thread_revalidation
additized,1,1,False,True,enhanced_6thread_revalidation
additors,1,1,False,True,enhanced_6thread_revalidation
additur,4+,4,False,True,enhanced_6thread_revalidation
addlehead,0,0,True,False,multi_thread_revalidation
addressives,1,1,False,True,enhanced_6thread_revalidation
adducin,3,3,False,True,enhanced_6thread_revalidation
adefovir,3,3,False,True,enhanced_6thread_revalidation
adelges,4+,6,False,True,enhanced_6thread_revalidation
adelgids,3,3,False,True,enhanced_6thread_revalidation
adelidae,2,2,False,True,enhanced_6thread_revalidation
adelite,4+,6,False,True,enhanced_6thread_revalidation
adenese,2,2,False,True,enhanced_6thread_revalidation
adenitides,2,2,False,True,enhanced_6thread_revalidation
adenoameloblastoma,2,2,False,True,enhanced_6thread_revalidation
adipaldehyde,1,1,False,True,enhanced_6thread_revalidation
adipamides,2,2,False,True,enhanced_6thread_revalidation
adipescent,4+,4,False,True,enhanced_6thread_revalidation
adipoblastic,1,1,False,True,enhanced_6thread_revalidation
adipoblasts,2,2,False,True,enhanced_6thread_revalidation
adipocele,4+,4,False,True,enhanced_6thread_revalidation
adipocellular,2,2,False,True,enhanced_6thread_revalidation
adipocytokine,3,3,False,True,enhanced_6thread_revalidation
adipofibroblast,1,1,False,True,enhanced_6thread_revalidation
adipogenetic,1,1,False,True,enhanced_6thread_revalidation
adipohormone,1,1,False,True,enhanced_6thread_revalidation
adipohormones,1,1,False,True,enhanced_6thread_revalidation
adipoinductive,1,1,False,True,enhanced_6thread_revalidation
adipokines,3,3,False,True,enhanced_6thread_revalidation
adipolysis,4+,5,False,True,enhanced_6thread_revalidation
adipomatous,3,3,False,True,enhanced_6thread_revalidation
adipometer,4+,5,False,True,enhanced_6thread_revalidation
adipometers,1,1,False,True,enhanced_6thread_revalidation
adiponecrosis,2,2,False,True,enhanced_6thread_revalidation
adiponectins,2,2,False,True,enhanced_6thread_revalidation
adiponitrile,4+,4,False,True,enhanced_6thread_revalidation
adiposome,1,1,False,True,enhanced_6thread_revalidation
adiposomes,2,2,False,True,enhanced_6thread_revalidation
adivasi,4+,5,False,True,enhanced_6thread_revalidation
adlayers,2,2,False,True,enhanced_6thread_revalidation
adonidin,4+,5,False,True,enhanced_6thread_revalidation
adrenocorticocytes,1,1,False,True,enhanced_6thread_revalidation
adrenocorticosteroid,4+,4,False,True,enhanced_6thread_revalidation
adrenocorticosteroids,4+,4,False,True,enhanced_6thread_revalidation
aelder,1,1,False,True,enhanced_6thread_revalidation
aeluroidea,4+,5,False,True,enhanced_6thread_revalidation
aelurophil,1,1,False,True,enhanced_6thread_revalidation
aelurostrongylus,2,2,False,True,enhanced_6thread_revalidation
aemulation,2,2,False,True,enhanced_6thread_revalidation
aemulatrix,1,1,False,True,enhanced_6thread_revalidation
aemulous,1,1,False,True,enhanced_6thread_revalidation
aeolanthus,1,1,False,True,enhanced_6thread_revalidation
aeolosoma,2,2,False,True,enhanced_6thread_revalidation
aeolosomatid,1,1,False,True,enhanced_6thread_revalidation
aeolospheric,1,1,False,True,enhanced_6thread_revalidation
aeoned,1,1,False,True,enhanced_6thread_revalidation
aequidistant,1,1,False,True,enhanced_6thread_revalidation
aeroallergenic,2,2,False,True,enhanced_6thread_revalidation
aeroallergic,1,1,False,True,enhanced_6thread_revalidation
aeroaquatic,1,1,False,True,enhanced_6thread_revalidation
aeroassisting,1,1,False,True,enhanced_6thread_revalidation
aerobacters,2,2,False,True,enhanced_6thread_revalidation
aerobatically,4+,4,False,True,enhanced_6thread_revalidation
aerobicity,2,2,False,True,enhanced_6thread_revalidation
aerobiontic,1,1,False,True,enhanced_6thread_revalidation
aerobiota,1,1,False,True,enhanced_6thread_revalidation
aerocaptured,2,2,False,True,enhanced_6thread_revalidation
aerocapturing,2,2,False,True,enhanced_6thread_revalidation
aerocarriage,1,1,False,True,enhanced_6thread_revalidation
aeroceles,2,2,False,True,enhanced_6thread_revalidation
aerocentric,2,2,False,True,enhanced_6thread_revalidation
aerochlorination,1,1,False,True,enhanced_6thread_revalidation
aeroclastic,1,1,False,True,enhanced_6thread_revalidation
aerococcaceae,2,2,False,True,enhanced_6thread_revalidation
aeroconical,1,1,False,True,enhanced_6thread_revalidation
aeroconvective,1,1,False,True,enhanced_6thread_revalidation
aerocosmonautics,1,1,False,True,enhanced_6thread_revalidation
aerodispersion,1,1,False,True,enhanced_6thread_revalidation
aerodomes,1,1,False,True,enhanced_6thread_revalidation
aerodraulics,1,1,False,True,enhanced_6thread_revalidation
aeroecology,2,2,False,True,enhanced_6thread_revalidation
aeroelastically,2,2,False,True,enhanced_6thread_revalidation
aeroelastics,3,3,False,True,enhanced_6thread_revalidation
aeroelectrical,2,2,False,True,enhanced_6thread_revalidation
aeroelectronic,1,1,False,True,enhanced_6thread_revalidation
aeroelectronics,1,1,False,True,enhanced_6thread_revalidation
aeroemboli,1,1,False,True,enhanced_6thread_revalidation
aeroengineer,3,3,False,True,enhanced_6thread_revalidation
aeroengineers,2,2,False,True,enhanced_6thread_revalidation
aeroengines,3,3,False,True,enhanced_6thread_revalidation
aeroevacuation,1,1,False,True,enhanced_6thread_revalidation
aerofaunal,1,1,False,True,enhanced_6thread_revalidation
aerofoiled,1,1,False,True,enhanced_6thread_revalidation
aerogeneous,1,1,False,True,enhanced_6thread_revalidation
aerogenically,4+,5,False,True,enhanced_6thread_revalidation
aerogenous,4+,5,False,True,enhanced_6thread_revalidation
aerographed,1,1,False,True,enhanced_6thread_revalidation
aerographer,4+,6,False,True,enhanced_6thread_revalidation
aerographers,3,3,False,True,enhanced_6thread_revalidation
aerogravimetry,1,1,False,True,enhanced_6thread_revalidation
aerohydraulic,1,1,False,True,enhanced_6thread_revalidation
aeromarines,1,1,False,True,enhanced_6thread_revalidation
aerometeorograph,4+,6,False,True,enhanced_6thread_revalidation
aerometrically,1,1,False,True,enhanced_6thread_revalidation
aerometrics,1,1,False,True,enhanced_6thread_revalidation
aeromobile,3,3,False,True,enhanced_6thread_revalidation
aeromodel,3,3,False,True,enhanced_6thread_revalidation
aeromodeler,2,2,False,True,enhanced_6thread_revalidation
aeromodelers,3,3,False,True,enhanced_6thread_revalidation
aeromodeling,3,3,False,True,enhanced_6thread_revalidation
aeromodeller,4+,5,False,True,enhanced_6thread_revalidation
aeromodellers,3,3,False,True,enhanced_6thread_revalidation
aeromonads,3,3,False,True,enhanced_6thread_revalidation
aeromoniasis,2,2,False,True,enhanced_6thread_revalidation
aeronauting,1,1,False,True,enhanced_6thread_revalidation
aeronautist,1,1,False,True,enhanced_6thread_revalidation
aerophagic,3,3,False,True,enhanced_6thread_revalidation
aeroplanists,3,3,False,True,enhanced_6thread_revalidation
aerosan,2,2,False,True,enhanced_6thread_revalidation
aerosans,1,1,False,True,enhanced_6thread_revalidation
aerosled,3,3,False,True,enhanced_6thread_revalidation
aerosolizer,3,3,False,True,enhanced_6thread_revalidation
aerosolizers,2,2,False,True,enhanced_6thread_revalidation
aerosonic,1,1,False,True,enhanced_6thread_revalidation
aerotow,4+,4,False,True,enhanced_6thread_revalidation
aerotowed,3,3,False,True,enhanced_6thread_revalidation
aerotowing,3,3,False,True,enhanced_6thread_revalidation
aerotoxic,3,3,False,True,enhanced_6thread_revalidation
aesculine,1,1,False,True,enhanced_6thread_revalidation
aeshnid,3,3,False,True,enhanced_6thread_revalidation
aeshnines,1,1,False,True,enhanced_6thread_revalidation
aesopian,4+,6,False,True,enhanced_6thread_revalidation
aesopians,1,1,False,True,enhanced_6thread_revalidation
aesopically,1,1,False,True,enhanced_6thread_revalidation
aesthesian,1,1,False,True,enhanced_6thread_revalidation
aesthesiology,2,2,False,True,enhanced_6thread_revalidation
aesthesiometer,3,3,False,True,enhanced_6thread_revalidation
aesthesiometers,2,2,False,True,enhanced_6thread_revalidation
aesthesiometric,1,1,False,True,enhanced_6thread_revalidation
aesthesiometry,2,2,False,True,enhanced_6thread_revalidation
aesthesodic,3,3,False,True,enhanced_6thread_revalidation
aestheticness,2,2,False,True,enhanced_6thread_revalidation
aesthetise,2,2,False,True,enhanced_6thread_revalidation
aesthetised,2,2,False,True,enhanced_6thread_revalidation
aesthetises,1,1,False,True,enhanced_6thread_revalidation
aesthetising,2,2,False,True,enhanced_6thread_revalidation
aesthetism,1,1,False,True,enhanced_6thread_revalidation
aesthetist,2,2,False,True,enhanced_6thread_revalidation
aesthetized,2,2,False,True,enhanced_6thread_revalidation
aesthetizes,2,2,False,True,enhanced_6thread_revalidation
aestiferous,1,1,False,True,enhanced_6thread_revalidation
aestimator,1,1,False,True,enhanced_6thread_revalidation
aestrogens,1,1,False,True,enhanced_6thread_revalidation
aestrous,1,1,False,True,enhanced_6thread_revalidation
aestuate,2,2,False,True,enhanced_6thread_revalidation
aeternally,1,1,False,True,enhanced_6thread_revalidation
aethalometer,3,3,False,True,enhanced_6thread_revalidation
aethalometers,3,3,False,True,enhanced_6thread_revalidation
aetherially,2,2,False,True,enhanced_6thread_revalidation
aetherized,1,1,False,True,enhanced_6thread_revalidation
affordeth,4+,4,False,True,enhanced_6thread_revalidation
afforestments,2,2,False,True,enhanced_6thread_revalidation
afforestry,1,1,False,True,enhanced_6thread_revalidation
aforedirected,1,1,False,True,enhanced_6thread_revalidation
afraflacilla,0,0,True,False,multi_thread_revalidation
aframax,3,3,False,True,enhanced_6thread_revalidation
aframaxes,1,1,False,True,enhanced_6thread_revalidation
afrancesados,3,3,False,True,enhanced_6thread_revalidation
afrasians,2,2,False,True,enhanced_6thread_revalidation
afray,2,2,False,True,enhanced_6thread_revalidation
africanism,4+,8,False,True,enhanced_6thread_revalidation
africanisms,3,3,False,True,enhanced_6thread_revalidation
africanists,3,3,False,True,enhanced_6thread_revalidation
africoid,2,2,False,True,enhanced_6thread_revalidation
afriphobia,1,1,False,True,enhanced_6thread_revalidation
afromodern,1,1,False,True,enhanced_6thread_revalidation
afromontane,3,3,False,True,enhanced_6thread_revalidation
afropessimism,2,2,False,True,enhanced_6thread_revalidation
afropessimists,2,2,False,True,enhanced_6thread_revalidation
afrophiles,2,2,False,True,enhanced_6thread_revalidation
afrophobia,3,3,False,True,enhanced_6thread_revalidation
afropithecine,1,1,False,True,enhanced_6thread_revalidation
afropolitan,3,3,False,True,enhanced_6thread_revalidation
afrosemitic,2,2,False,True,enhanced_6thread_revalidation
afrosoricid,2,2,False,True,enhanced_6thread_revalidation
afrotemperate,2,2,False,True,enhanced_6thread_revalidation
afrotheria,2,2,False,True,enhanced_6thread_revalidation
afterburn,4+,4,False,True,enhanced_6thread_revalidation
afterpart,4+,6,False,True,enhanced_6thread_revalidation
afterplay,4+,7,False,True,enhanced_6thread_revalidation
afterscript,1,1,False,True,enhanced_6thread_revalidation
afucosylates,1,1,False,True,enhanced_6thread_revalidation
afucosylating,1,1,False,True,enhanced_6thread_revalidation
agalactosidases,1,1,False,True,enhanced_6thread_revalidation
agalactosis,2,2,False,True,enhanced_6thread_revalidation
agalaxia,4+,5,False,True,enhanced_6thread_revalidation
agamidae,4+,6,False,True,enhanced_6thread_revalidation
agapetes,2,2,False,True,enhanced_6thread_revalidation
agaricales,4+,6,False,True,enhanced_6thread_revalidation
agaricomycetidae,2,2,False,True,enhanced_6thread_revalidation
agastache,4+,7,False,True,enhanced_6thread_revalidation
agathis,4+,6,False,True,enhanced_6thread_revalidation
agati,4+,4,False,True,enhanced_6thread_revalidation
agavoideae,2,2,False,True,enhanced_6thread_revalidation
agerminative,1,1,False,True,enhanced_6thread_revalidation
agespecificity,1,1,False,True,enhanced_6thread_revalidation
aggravando,1,1,False,True,enhanced_6thread_revalidation
aggravant,1,1,False,True,enhanced_6thread_revalidation
aggravators,3,3,False,True,enhanced_6thread_revalidation
aggravatory,1,1,False,True,enhanced_6thread_revalidation
aggregant,4+,6,False,True,enhanced_6thread_revalidation
aggregationist,1,1,False,True,enhanced_6thread_revalidation
aggregatives,1,1,False,True,enhanced_6thread_revalidation
aggrephagy,2,2,False,True,enhanced_6thread_revalidation
aggresome,3,3,False,True,enhanced_6thread_revalidation
aggressives,4+,4,False,True,enhanced_6thread_revalidation
aghiasma,1,1,False,True,enhanced_6thread_revalidation
aghlabite,0,0,True,False,multi_thread_revalidation
aghori,4+,7,False,True,enhanced_6thread_revalidation
agiary,3,3,False,True,enhanced_6thread_revalidation
agilisaurus,0,0,True,False,multi_thread_revalidation
agilolfingians,1,1,False,True,enhanced_6thread_revalidation
agiographa,1,1,False,True,enhanced_6thread_revalidation
agionyms,1,1,False,True,enhanced_6thread_revalidation
aglaspidida,2,2,False,True,enhanced_6thread_revalidation
aglaspididae,1,1,False,True,enhanced_6thread_revalidation
