stem,stratum,in_wordnet,wordnet_pos,forms,n_forms,stem_intake,seed,rank_key
juvie,not-in-wn,False,,juvieer juvieest,2,,20260814,0385a997af8505c9
kissable,not-in-wn,False,,kissabler kissablest,2,twl_scrabble_dictionary,20260814,02398dfd2fc8bc15
labioproximal,not-in-wn,False,,labioproximaler labioproximalest,2,,20260814,01dcc5f8d68f485d
laryngoscopical,not-in-wn,False,,laryngoscopicaler laryngoscopicalest,2,,20260814,04562051f24308c0
lichenographic,not-in-wn,False,,lichenographicer lichenographicest,2,,20260814,0068910832d52505
limuloid,not-in-wn,False,,limuloider limuloidest,2,twl_scrabble_dictionary,20260814,04b0d6b08f14db09
lycophytic,not-in-wn,False,,lycophyticer lycophyticest,2,,20260814,02fa014b51428813
lysozymal,not-in-wn,False,,lysozymaler lysozymalest,2,,20260814,03f962d0b7972e8a
macroeconometric,not-in-wn,False,,macroeconometricer macroeconometricest,2,,20260814,030af6aff621882e
mattier,not-in-wn,False,,mattierer mattierest,2,,20260814,0330321adb2ae3c5
mesoptic,not-in-wn,False,,mesopticer mesopticest,2,,20260814,012d795437465d9c
mesotrochous,not-in-wn,False,,mesotrochouser mesotrochousest,2,,20260814,05bab2199cfcac47
metaspermous,not-in-wn,False,,metaspermouser metaspermousest,2,,20260814,00d64bfe0390d035
metasthenic,not-in-wn,False,,metasthenicer metasthenicest,2,,20260814,02aa6e85906396ce
methanarsonate,not-in-wn,False,,methanarsonater,1,,20260814,00f8ad22c513fbf6
microstylous,not-in-wn,False,,microstylouser microstylousest,2,,20260814,0028a327ec8eec78
microvillous,not-in-wn,False,,microvillouser microvillousest,2,twl_scrabble_dictionary,20260814,041bc8693ea65d33
monofocal,not-in-wn,False,,monofocaler monofocalest,2,,20260814,01abb597d37acdd9
neuroinfectious,not-in-wn,False,,neuroinfectiouser neuroinfectiousest,2,,20260814,021d816ceff66444
neurolemmal,not-in-wn,False,,neurolemmaler neurolemmalest,2,,20260814,04384f30808a6ad9
neuropsychobiological,not-in-wn,False,,neuropsychobiologicaler neuropsychobiologicalest,2,,20260814,04b97cca2c09309c
nonconcealable,not-in-wn,False,,nonconcealabler nonconcealablest,2,,20260814,00104712b8404376
nonconsumptive,not-in-wn,False,,nonconsumptiver nonconsumptivest,2,twl_scrabble_dictionary,20260814,049931a6703e1482
nondeclarative,not-in-wn,False,,nondeclarativer nondeclarativest,2,,20260814,041dc9511d49491d
nondesmoplastic,not-in-wn,False,,nondesmoplasticer nondesmoplasticest,2,,20260814,03265fc64e5a28a2
nondischarge,not-in-wn,False,,nondischarger,1,,20260814,034943e5b9937a20
nonhysteretic,not-in-wn,False,,nonhystereticer nonhystereticest,2,,20260814,0115aeb1b112929e
nonoceanic,not-in-wn,False,,nonoceanicer nonoceanicest,2,,20260814,030e931ec27c48ab
nonoperative,not-in-wn,False,,nonoperativer nonoperativest,2,twl_scrabble_dictionary,20260814,02489936146b6dca
nonpractical,not-in-wn,False,,nonpracticaler nonpracticalest,2,twl_scrabble_dictionary,20260814,03cd1abeae0a2d2f
nonredirective,not-in-wn,False,,nonredirectiver nonredirectivest,2,,20260814,03d5ae4155f0d863
nonrelatable,not-in-wn,False,,nonrelatabler nonrelatablest,2,,20260814,031f1349ca50fbff
outcurse,not-in-wn,False,,outcurser outcursest,2,twl_scrabble_dictionary,20260814,008d19dab9ee07b2
overabrupt,not-in-wn,False,,overabrupter overabruptest,2,,20260814,00948a828025c22d
overadorn,not-in-wn,False,,overadorner,1,,20260814,0339f4d3b256cd02
overlewd,not-in-wn,False,,overlewder overlewdest,2,twl_scrabble_dictionary,20260814,044c8eec44b000e5
overorchestrate,not-in-wn,False,,overorchestrater,1,twl_scrabble_dictionary,20260814,0547a692fbab56da
ovipuncture,not-in-wn,False,,ovipuncturer,1,,20260814,049c5a85e585b705
pabular,not-in-wn,False,,pabularer pabularest,2,twl_scrabble_dictionary,20260814,0116a60183663ee2
photodetectable,not-in-wn,False,,photodetectabler photodetectablest,2,,20260814,04beed46ce369175
phyllodinous,not-in-wn,False,,phyllodinouser phyllodinousest,2,,20260814,04f90522d332a4fc
pilferable,not-in-wn,False,,pilferabler pilferablest,2,twl_scrabble_dictionary,20260814,0484e738f0391ae8
pleurolophocercous,not-in-wn,False,,pleurolophocercousser pleurolophocercoussest,2,,20260814,051c07057e6769fa
polyfascicular,not-in-wn,False,,polyfascicularer polyfascicularest,2,,20260814,010bd063e9ac5344
polymict,not-in-wn,False,,polymicter polymictest,2,,20260814,02a6cec2b761a87e
postharvest,not-in-wn,False,,postharvester,1,twl_scrabble_dictionary,20260814,0387974393b42938
preinaugural,not-in-wn,False,,preinauguraler preinauguralest,2,twl_scrabble_dictionary,20260814,00c85fd12f290bd3
presignal,not-in-wn,False,,presignaller,1,twl_scrabble_dictionary,20260814,014b5f11e8ee3109
procursive,not-in-wn,False,,procursiver procursivest,2,,20260814,02ffb6f37b5be90f
procuticular,not-in-wn,False,,procuticularer procuticularest,2,,20260814,042dd15590a8a245
psorophthalmic,not-in-wn,False,,psorophthalmicer psorophthalmicest,2,,20260814,00061bdc01f1e887
pyroxenitic,not-in-wn,False,,pyroxeniticer pyroxeniticest,2,twl_scrabble_dictionary,20260814,02e6e6300192f711
rachitomous,not-in-wn,False,,rachitomouser rachitomousest,2,,20260814,04d7cfd5b1fd62bb
rackmountable,not-in-wn,False,,rackmountabler rackmountablest,2,,20260814,047042ebc4ecdfb6
receptorial,not-in-wn,False,,receptorialer receptorialest,2,,20260814,01fca5b4baa3b7ad
reenchant,not-in-wn,False,,reenchanter,1,,20260814,016f5b26e34bc1d4
repatriable,not-in-wn,False,,repatriabler repatriablest,2,,20260814,0221d5c63ee7645f
retrosynthetic,not-in-wn,False,,retrosyntheticer retrosyntheticest,2,,20260814,038496889d30079e
retrotrigeminal,not-in-wn,False,,retrotrigeminaler retrotrigeminalest,2,,20260814,0123b6496b4859f6
saltpetrous,not-in-wn,False,,saltpetrouser saltpetrousest,2,,20260814,04022f34c117a031
sashless,not-in-wn,False,,sashlesser sashlessest,2,twl_scrabble_dictionary,20260814,007445de71152147
scrubbable,not-in-wn,False,,scrubbabler scrubbablest,2,twl_scrabble_dictionary,20260814,03995b619f2bb1f3
sestercentennial,not-in-wn,False,,sestercentennialer sestercentennialest,2,,20260814,0109f278908c8b09
shrublike,not-in-wn,False,,shrubliker shrublikest,2,twl_scrabble_dictionary,20260814,0079fca40b3b9b30
sidedress,not-in-wn,False,,sidedressest,1,twl_scrabble_dictionary,20260814,020fbb37bf4e77dc
silvical,not-in-wn,False,,silvicaler silvicalest,2,twl_scrabble_dictionary,20260814,023a0955967279df
spheroquartic,not-in-wn,False,,spheroquarticer spheroquarticest,2,,20260814,010d1ae79788083c
spillable,not-in-wn,False,,spillabler spillablest,2,twl_scrabble_dictionary,20260814,01da5498a224cc53
stomatopodous,not-in-wn,False,,stomatopodouser stomatopodousest,2,,20260814,0008962f30a728a3
suboval,not-in-wn,False,,subovaler subovalest,2,twl_scrabble_dictionary,20260814,02396466d0d26cbe
supraliminal,not-in-wn,False,,supraliminaler supraliminalest,2,twl_scrabble_dictionary,20260814,009f39c0eef023a3
suprapolitical,not-in-wn,False,,suprapoliticaler suprapoliticalest,2,,20260814,025f3aa7fbd80109
testable,not-in-wn,False,,testabler testablest,2,twl_scrabble_dictionary,20260814,03e7d15d3b697dd2
tibiofemoral,not-in-wn,False,,tibiofemoraler tibiofemoralest,2,,20260814,0130f7d1135318a9
timereversible,not-in-wn,False,,timereversibler timereversiblest,2,,20260814,0425cba8ce54606c
titaniferous,not-in-wn,False,,titaniferouser titaniferousest,2,twl_scrabble_dictionary,20260814,01432929415184b7
tonofilamentous,not-in-wn,False,,tonofilamentouser tonofilamentousest,2,,20260814,034343c28f1ad271
trinodal,not-in-wn,False,,trinodaler trinodalest,2,twl_scrabble_dictionary,20260814,0372f73cf1cc410e
unbirdlike,not-in-wn,False,,unbirdliker unbirdlikest,2,,20260814,03eb07a4cc220f04
unconsolatory,not-in-wn,False,,unconsolatorier unconsolatoriest,2,,20260814,03321e40d45ceac6
undauntable,not-in-wn,False,,undauntabler undauntablest,2,twl_scrabble_dictionary,20260814,01e26ffbf9217490
underglaze,not-in-wn,False,,underglazer,1,twl_scrabble_dictionary,20260814,058b89d65be2d742
underreact,not-in-wn,False,,underreacter,1,twl_scrabble_dictionary,20260814,051f0bc099702e97
unencyclopedic,not-in-wn,False,,unencyclopedicer unencyclopedicest,2,,20260814,01fe1bed793ea37a
unfoul,not-in-wn,False,,unfouler,1,,20260814,05c5c57b8bd16094
unfreakish,not-in-wn,False,,unfreakisher unfreakishest,2,,20260814,03dd4ce67d19594a
unidentical,not-in-wn,False,,unidenticaler unidenticalest,2,,20260814,03a9ecfea1f19809
unipart,not-in-wn,False,,uniparter unipartest,2,,20260814,05553929b39ff9e3
uniplanetary,not-in-wn,False,,uniplanetarier uniplanetariest,2,,20260814,001484bd05ebed01
unkenned,not-in-wn,False,,unkenneder unkennedest,2,twl_scrabble_dictionary,20260814,043ee5aa9d4e6906
unsnap,not-in-wn,False,,unsnapper,1,twl_scrabble_dictionary,20260814,04e5ec41fee996d9
uppile,not-in-wn,False,,uppiler,1,twl_scrabble_dictionary,20260814,0482739ac9d89db1
urnlike,not-in-wn,False,,urnliker urnlikest,2,twl_scrabble_dictionary,20260814,05da5f1dc9fdd735
vasculiferous,not-in-wn,False,,vasculiferouser vasculiferousest,2,,20260814,021d56f5cb1f8370
vesiculopustular,not-in-wn,False,,vesiculopustularer vesiculopustularest,2,,20260814,018ac639b8f752ed
wae,not-in-wn,False,,waeest,1,twl_scrabble_dictionary,20260814,0130fa46e8a11882
abominable,wn-adj,True,s,abominabler,1,twl_scrabble_dictionary,20260814,00a333d9423c7711
accusative,wn-adj,True,ans,accusativer accusativest,2,twl_scrabble_dictionary,20260814,02d807f542144cf2
adaptational,wn-adj,True,s,adaptationaller adaptationallest,2,twl_scrabble_dictionary,20260814,05a75bfe1642af4d
adsorbable,wn-adj,True,a,adsorbabler adsorbablest,2,twl_scrabble_dictionary,20260814,0a0d25991a468969
aecial,wn-adj,True,a,aecialer aecialest,2,twl_scrabble_dictionary,20260814,02b7dd1604010061
affable,wn-adj,True,s,affabler,1,twl_scrabble_dictionary,20260814,0cd4924d00f1ee85
ahistorical,wn-adj,True,a,ahistoricaler ahistoricalest,2,twl_scrabble_dictionary,20260814,056a8b392d08c068
amnesic,wn-adj,True,ans,amnesicer amnesicest,2,twl_scrabble_dictionary,20260814,082a16cab521864a
androgynous,wn-adj,True,a,androgynouser androgynousest,2,twl_scrabble_dictionary,20260814,086db74c204e1498
anthropical,wn-adj,True,a,anthropicaler anthropicalest,2,twl_scrabble_dictionary,20260814,0675e17c19b99f95
arable,wn-adj,True,s,arablest,1,twl_scrabble_dictionary,20260814,0b4493de51972a55
arenicolous,wn-adj,True,a,arenicolouser arenicolousest,2,twl_scrabble_dictionary,20260814,08ae7d34ec95927d
assiduous,wn-adj,True,s,assiduouser assiduousest,2,twl_scrabble_dictionary,20260814,0b8296d364a0c6e4
bacillary,wn-adj,True,as,bacillarier bacillariest,2,,20260814,0cc6898a705f317e
bisulcate,wn-adj,True,s,bisulcater bisulcatest,2,twl_scrabble_dictionary,20260814,09085cc60867bc4c
blameworthy,wn-adj,True,s,blameworthier blameworthiest,2,twl_scrabble_dictionary,20260814,04ebe8f045086c20
caffeinic,wn-adj,True,a,caffeinicer caffeinicest,2,twl_scrabble_dictionary,20260814,049b19e705beadc7
collectable,wn-adj,True,ns,collectablest,1,twl_scrabble_dictionary,20260814,0358a7dfa51f0d4d
contumacious,wn-adj,True,s,contumaciouser contumaciousest,2,twl_scrabble_dictionary,20260814,08db454255049993
cuddlesome,wn-adj,True,s,cuddlesomer cuddlesomest,2,twl_scrabble_dictionary,20260814,039b26c4c93dab96
decisive,wn-adj,True,as,decisivest,1,twl_scrabble_dictionary,20260814,098c8f6c936f2004
defiant,wn-adj,True,a,defianter defiantest,2,twl_scrabble_dictionary,20260814,0b169410dd180d9f
dividable,wn-adj,True,s,dividabler dividablest,2,twl_scrabble_dictionary,20260814,07d3c1d28ddf34e4
elderly,wn-adj,True,ns,elderlier,1,twl_scrabble_dictionary,20260814,0793ddee6d68e9f4
endemical,wn-adj,True,a,endemicaler endemicalest,2,twl_scrabble_dictionary,20260814,067b578ec7049661
endergonic,wn-adj,True,a,endergonicer endergonicest,2,twl_scrabble_dictionary,20260814,04105e797ab326da
equitable,wn-adj,True,a,equitabler equitablest,2,twl_scrabble_dictionary,20260814,09a7e5aa2f33272c
estimable,wn-adj,True,as,estimabler estimablest,2,twl_scrabble_dictionary,20260814,09f10b76adf87a91
expansive,wn-adj,True,as,expansivest,1,twl_scrabble_dictionary,20260814,036144890b2476a0
fantabulous,wn-adj,True,s,fantabulouser fantabulousest,2,twl_scrabble_dictionary,20260814,04991ace98bc2058
feckless,wn-adj,True,s,fecklesser fecklessest,2,twl_scrabble_dictionary,20260814,0c55b47387beb4af
fetid,wn-adj,True,s,fetider fetidest,2,twl_scrabble_dictionary,20260814,06d59db9ea8ca129
fireproof,wn-adj,True,sv,fireproofest,1,twl_scrabble_dictionary,20260814,09c9399736f2a1bc
frictional,wn-adj,True,a,frictionaler frictionalest,2,twl_scrabble_dictionary,20260814,079d8229e86dadb0
hardscrabble,wn-adj,True,s,hardscrabblest,1,twl_scrabble_dictionary,20260814,06eb6b2b93c9cda5
holographic,wn-adj,True,as,holographicer holographicest,2,twl_scrabble_dictionary,20260814,08f4b479ff2c6c4c
impartial,wn-adj,True,a,impartialer impartialest,2,twl_scrabble_dictionary,20260814,0277dc4da82de52b
impassable,wn-adj,True,a,impassabler impassablest,2,twl_scrabble_dictionary,20260814,00b58e720c69d305
indubitable,wn-adj,True,s,indubitabler,1,twl_scrabble_dictionary,20260814,0b41272262f783cf
inscrutable,wn-adj,True,s,inscrutabler inscrutablest,2,twl_scrabble_dictionary,20260814,0af9471a8ed341b8
insupportable,wn-adj,True,s,insupportabler insupportablest,2,twl_scrabble_dictionary,20260814,0a96e035d6afdf26
irreconcilable,wn-adj,True,a,irreconcilabler irreconcilablest,2,twl_scrabble_dictionary,20260814,039a45ce9e29de22
leafless,wn-adj,True,a,leaflesser leaflessest,2,twl_scrabble_dictionary,20260814,08a7399249ad9251
maneuverable,wn-adj,True,s,maneuverabler maneuverablest,2,twl_scrabble_dictionary,20260814,0b628319328a591c
mindless,wn-adj,True,as,mindlesser mindlessest,2,twl_scrabble_dictionary,20260814,0a3cf782c24f5181
minimal,wn-adj,True,a,minimalest,1,twl_scrabble_dictionary,20260814,039c22e248ee562c
moldable,wn-adj,True,s,moldabler moldablest,2,twl_scrabble_dictionary,20260814,0b3fd9f042186510
mosaic,wn-adj,True,an,mosaicer,1,twl_scrabble_dictionary,20260814,03f5e538e0de4635
nitrous,wn-adj,True,a,nitrousest,1,twl_scrabble_dictionary,20260814,064628e39ebbc876
nocturnal,wn-adj,True,a,nocturnaler nocturnalest,2,twl_scrabble_dictionary,20260814,049ef830b38f12ad
nonadhesive,wn-adj,True,a,nonadhesiver nonadhesivest,2,twl_scrabble_dictionary,20260814,003e558a2ae9c0a8
nonheritable,wn-adj,True,a,nonheritabler nonheritablest,2,,20260814,001ac1612c90602e
nonoperational,wn-adj,True,a,nonoperationaler nonoperationalest,2,twl_scrabble_dictionary,20260814,0bdf28736ef63e4c
nonsensitive,wn-adj,True,s,nonsensitiver nonsensitivest,2,twl_scrabble_dictionary,20260814,009722d6b9a913d6
occlusive,wn-adj,True,an,occlusiver occlusivest,2,twl_scrabble_dictionary,20260814,0bd8083144f59d7f
osseous,wn-adj,True,a,osseouser osseousest,2,twl_scrabble_dictionary,20260814,0991ed665896302b
outspoken,wn-adj,True,s,outspokener outspokenest,2,twl_scrabble_dictionary,20260814,098387f9075047b2
papistic,wn-adj,True,a,papisticer papisticest,2,twl_scrabble_dictionary,20260814,03413d9c644494b0
passant,wn-adj,True,s,passanter passantest,2,twl_scrabble_dictionary,20260814,013f8a5d23143abf
pericardial,wn-adj,True,a,pericardialer pericardialest,2,twl_scrabble_dictionary,20260814,008c5e0bca5611ce
permissive,wn-adj,True,a,permissivest,1,twl_scrabble_dictionary,20260814,0badfa4503cd9924
personable,wn-adj,True,s,personablest,1,twl_scrabble_dictionary,20260814,04e92eaaf4f60690
phlegmatic,wn-adj,True,s,phlegmaticer phlegmaticest,2,twl_scrabble_dictionary,20260814,013c394f8cf4c831
pinnatifid,wn-adj,True,s,pinnatifider pinnatifidest,2,twl_scrabble_dictionary,20260814,085593d5123d4f87
plenteous,wn-adj,True,s,plenteouser,1,twl_scrabble_dictionary,20260814,0ac358b0e0a05b0d
polyestrous,wn-adj,True,s,polyestrouser polyestrousest,2,twl_scrabble_dictionary,20260814,0193b4186f17fcae
predominant,wn-adj,True,s,predominanter predominantest,2,twl_scrabble_dictionary,20260814,0bef98de411b4357
quantitative,wn-adj,True,a,quantitativest,1,twl_scrabble_dictionary,20260814,0c4d0cc45b602ace
rampant,wn-adj,True,s,rampanter rampantest,2,twl_scrabble_dictionary,20260814,02250ce9bb4c3c13
rateable,wn-adj,True,s,rateabler rateablest,2,twl_scrabble_dictionary,20260814,0c5c39f1b01bd916
recalcitrant,wn-adj,True,s,recalcitranter recalcitrantest,2,twl_scrabble_dictionary,20260814,07666554c5f8ecfb
renascent,wn-adj,True,s,renascenter renascentest,2,twl_scrabble_dictionary,20260814,0c947e7aa9397b14
riotous,wn-adj,True,s,riotouser riotousest,2,twl_scrabble_dictionary,20260814,077d32ed39a7be7c
salable,wn-adj,True,a,salabler salablest,2,twl_scrabble_dictionary,20260814,05f41c4d04ad3b06
sanctimonious,wn-adj,True,s,sanctimoniouser sanctimoniousest,2,,20260814,082ac1e214b5d913
saporous,wn-adj,True,s,saporouser saporousest,2,twl_scrabble_dictionary,20260814,0683d4301825b4eb
sibilant,wn-adj,True,ns,sibilanter sibilantest,2,twl_scrabble_dictionary,20260814,0b36df042ac65ed5
submergible,wn-adj,True,a,submergibler submergiblest,2,twl_scrabble_dictionary,20260814,0c3655a59ea984d8
supranational,wn-adj,True,s,supranationalest,1,twl_scrabble_dictionary,20260814,003a4f440b2efbb1
sustainable,wn-adj,True,a,sustainabler sustainablest,2,twl_scrabble_dictionary,20260814,0c3d36f9e724b3d2
syndetic,wn-adj,True,a,syndeticcer syndeticcest,2,twl_scrabble_dictionary,20260814,0b47c2229e64ad57
tameable,wn-adj,True,s,tameablest,1,twl_scrabble_dictionary,20260814,0af9407d002074ec
titanic,wn-adj,True,s,titanicer titanicest,2,twl_scrabble_dictionary,20260814,0ce4c41ed1cbf321
transpolar,wn-adj,True,a,transpolarest,1,twl_scrabble_dictionary,20260814,0c081896b0c2bdb2
tuneless,wn-adj,True,a,tunelesser tunelessest,2,twl_scrabble_dictionary,20260814,06aafd81fbceb7dd
unbloody,wn-adj,True,s,unbloodier unbloodiest,2,twl_scrabble_dictionary,20260814,08c655f6898bd5ed
unbreakable,wn-adj,True,a,unbreakabler unbreakablest,2,twl_scrabble_dictionary,20260814,064f3ee094adea88
unbridgeable,wn-adj,True,a,unbridgeabler unbridgeablest,2,twl_scrabble_dictionary,20260814,037ece271785ad39
unclad,wn-adj,True,sv,uncladder uncladdest,2,twl_scrabble_dictionary,20260814,0c569dcd39221c43
uncoerced,wn-adj,True,s,uncoerceder uncoercedest,2,twl_scrabble_dictionary,20260814,0c00b677073e2984
uncontrollable,wn-adj,True,s,uncontrollabler uncontrollablest,2,twl_scrabble_dictionary,20260814,05568f891ddea052
uncreative,wn-adj,True,a,uncreativer uncreativest,2,twl_scrabble_dictionary,20260814,075b90d657adee55
uncrossed,wn-adj,True,av,uncrosseder uncrossedest,2,twl_scrabble_dictionary,20260814,0515457a04b20d2b
undecided,wn-adj,True,s,undecideder undecidedest,2,twl_scrabble_dictionary,20260814,02f4d4ef79623d42
undersexed,wn-adj,True,s,undersexeder undersexedest,2,twl_scrabble_dictionary,20260814,0b72b6e0fb9a9d3f
unfed,wn-adj,True,s,unfedder unfeddest,2,twl_scrabble_dictionary,20260814,047716b53ae27ce1
unhopeful,wn-adj,True,s,unhopefuler unhopefulest,2,twl_scrabble_dictionary,20260814,06ced8c710e0650e
uppish,wn-adj,True,s,uppisher uppishest,2,twl_scrabble_dictionary,20260814,0c5f5e0684a42dc3
urban,wn-adj,True,a,urbannest,1,twl_scrabble_dictionary,20260814,094c87a24bfe5f14
usual,wn-adj,True,as,usualer usualest,2,twl_scrabble_dictionary,20260814,0c162cb37fca06df
aviary,wn-other,True,n,aviarier aviariest,2,twl_scrabble_dictionary,20260814,172647713059efa1
bassi,wn-other,True,n,bassier bassiest,2,twl_scrabble_dictionary,20260814,09cf0939e23940e0
bawdry,wn-other,True,n,bawdrier bawdriest,2,twl_scrabble_dictionary,20260814,0011ff6ac9637a2f
bittern,wn-other,True,n,bitternest,1,twl_scrabble_dictionary,20260814,0fd929561e475e42
blockhead,wn-other,True,n,blockheader,1,twl_scrabble_dictionary,20260814,13867c8a121d99c4
brandish,wn-other,True,nv,brandisher,1,twl_scrabble_dictionary,20260814,025d8f56f3e733d5
briar,wn-other,True,n,briarer,1,twl_scrabble_dictionary,20260814,0c3d49518f3b26f5
cittern,wn-other,True,n,citterner,1,twl_scrabble_dictionary,20260814,180445559e87891b
extricate,wn-other,True,v,extricater,1,twl_scrabble_dictionary,20260814,0375729559aaa7bd
famish,wn-other,True,v,famisher famishest,2,twl_scrabble_dictionary,20260814,00cb00a903d32b03
fishplate,wn-other,True,n,fishplater,1,twl_scrabble_dictionary,20260814,194b184bc9a30b10
fractionate,wn-other,True,v,fractionatest,1,twl_scrabble_dictionary,20260814,0f7947a04e19847f
hatful,wn-other,True,n,hatfuler hatfulest,2,twl_scrabble_dictionary,20260814,00740570f5bb3a0f
hive,wn-other,True,nv,hiver,1,twl_scrabble_dictionary,20260814,124957cdb985e685
imbrue,wn-other,True,v,imbrueer,1,twl_scrabble_dictionary,20260814,10f8891424e0e811
inpour,wn-other,True,n,inpourer,1,,20260814,142b27ca5f407516
intersect,wn-other,True,v,intersecter,1,twl_scrabble_dictionary,20260814,19d9793402e77834
