word,stage,stratum,gemini_verdict,outcome,action,deciding_source,deciding_status,medical_status,collegiate_status,free_status,part_of_speech,definition,decided_date
portabellos,2,0,invalid,refuted,none,collegiate,valid,not_found,valid,not_consulted,,a large dark mature cultivated mushroom noted for its meaty texture that is of the same variety of button mushroom as the cremini,2026-08-14
quinolinolate,2,0,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
quintilla,2,0,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
reballing,2,0,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
reliabilism,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
tefilin,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
tetramethylcyclopropanecarboxylate,2,0,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
tochilinite,2,0,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
torreya,2,0,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
truebill,2,0,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
virgibacillus,2,0,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
abewt,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
acceptanda,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
afucosylating,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
alkyltrichlorogermanes,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
alkynyloxy,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
alugbati,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
antigangliosides,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
antijihadist,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
antikantian,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
antipromoting,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
antiswing,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
applauseful,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
azoacetate,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
beshoeing,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
calycula,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
canovist,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
caseflows,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
chainsmen,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
chalkish,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
chemicopharmacological,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
chlorgyline,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
chloroacetamidine,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
christianophobes,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
cidering,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
clingwraps,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
clinicomorphologic,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
cockburs,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
coexistants,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
coldshouldering,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
compositives,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
composticola,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
compradoreships,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
conforcement,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
continualism,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
contortively,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
contumacye,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
conuli,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
coreligion,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
crotophagidae,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
crystallate,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
crystallates,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
cycloalkylbenzenes,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
cycloarylene,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
cytopalynology,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
dactylostomum,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
damozelles,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
dedomestications,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
defumed,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
dendragopus,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
deplastified,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
dereeled,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
dialkylthiophene,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
distichons,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
dithiopyridyl,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
doublecrewed,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
downblasts,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
dripfeeding,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
drycleanings,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
dudleyas,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
dustbathes,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
ecocommunitarianism,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
ecocrats,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
emendatrix,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
erythrogenes,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
esophagogastroplasty,2,1,invalid,refuted,none,medical,valid,valid,not_consulted,not_consulted,noun,{sx|cardioplasty|cardioplasty|},2026-08-14
ethametsulfuron,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
geosimulations,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
granulomatosa,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
hardsolder,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
hellstorms,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
hemitransfixion,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
holocoryne,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
hydrazinopyrimidine,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
islamicisms,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
maeandrinas,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
melicopine,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
microadenomectomy,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
miniclinics,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
minicyclones,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
motometric,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
mucoproteinic,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
musketing,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
mycofumigation,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
myrtenic,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
myzinae,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
nanoadsorbent,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
nanoaggregated,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
napoleonisms,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
nifuratrone,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
nigriscapus,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
octenals,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
oilbound,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
opisthorchidal,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
ordinatively,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
organotitanates,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
osmodehydrated,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
osmundites,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
palaeosepsis,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
palear,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
pentacarbonyliron,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
pentacellular,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
pentasachme,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
peptidomannan,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
peptidylthiohydantoin,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
perditional,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
perfluoride,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
peroxycomplexes,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
phosphatidalethanolamine,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
phosphomutated,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
phosphoriboprotein,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
phosphorimidazolide,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
photoentrained,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
photosynthesates,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
phylodemography,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
pincerless,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
planchetted,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
polyhydroxyalkanes,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
polypharmacologic,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
polythiocarbonates,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
porogenesis,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
porphyranases,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
porphyrinogenesis,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
powandah,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
powdermaking,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
preganglia,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
prelapsarians,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
pseudotachylytic,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
pyrophthalone,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
qanunists,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
quadricolumella,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
quasicatholic,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
quasicausal,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
quasicontact,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
quasicontinuity,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
quasicyclobutane,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
quasielemental,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
quasiformula,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
quasimonostatic,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
quasiuniformities,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
quasivelocity,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
quietismus,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
quinisextan,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
runtlike,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
sacchariferae,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
selfinking,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
tableboard,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
tabloidised,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
tanglike,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
temnogomphus,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
tetanocerid,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
tetrahydropyranyloxy,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
thermidorianism,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
topogeodesic,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
tribromophloroglucinol,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
triphenylindium,2,1,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
turbative,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
vasculoneural,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
venturists,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
versure,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
xylosylgalactoside,2,1,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
absohms,2,2,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
aerobicity,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
amidosulfuron,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
anguibactin,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
antihyperkinetic,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
antimelanogenic,2,2,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
antimodels,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
antimycoplasma,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
aphidologist,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
camellae,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
camerates,2,2,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
cavogram,2,2,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
cerines,2,2,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
chainlines,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
chorusgirls,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
christmastides,2,2,invalid,corroborated,none,collegiate,proper_noun,not_found,proper_noun,not_consulted,,,2026-08-14
chrysomphalus,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
clavaminate,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
clothesprops,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
cofilaments,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
cotransplantation,2,2,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
crowdworking,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
cycloalkanol,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
deaggregations,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
decepting,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
depletor,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
diglycosylated,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
dodgsonian,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
doomless,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
drachman,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
echotextures,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
ecoauditing,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
eigenpolarizations,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
endoglycan,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
erythrorhyncha,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
ethnoarchaeologically,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
evermost,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
exidiaceae,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
gangliosidic,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
groundrow,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
hemoconcentrations,2,2,invalid,refuted,none,medical,valid,valid,not_consulted,not_consulted,noun,increased concentration of cells and solids in the blood usually resulting from loss of fluid to the tissues {dx}compare {dxt|hemodilution|hemodilution|1}{/dx},2026-08-14
highgrading,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
histocultured,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
macropharynx,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
macrospheres,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
mahasangha,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
melorheostotic,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
misassessed,2,2,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
mixogamous,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
myrmeciine,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
nanodiagnostic,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
needlefelt,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
neoteleostei,2,2,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
neoteleosts,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
nicolaitanes,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
osmundastrum,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
palaeomorphic,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
paraswimmer,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
parement,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
pharmacodependence,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
pharmacoepidemiological,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
phialosporous,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
phosphoproteomes,2,2,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
photoassociated,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
picolylamines,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
platylepis,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
platythyrea,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
preassociated,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
pregnanetriols,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
pterinosomes,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
ptiloerection,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
pustulata,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
pyridoindoles,2,2,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
quasicycles,2,2,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
quasitrivial,2,2,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
saccharophagus,2,2,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
technicalia,2,2,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
telegambling,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
vestigated,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
xanthophthalmus,2,2,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
aethalometers,2,3,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
alclometasone,2,3,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
allylboration,2,3,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
altmetrics,2,3,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
anidiomatic,2,3,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
anisosepalous,2,3,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
antifermions,2,3,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
antinociceptive,2,3,invalid,refuted,none,medical,valid,valid,not_consulted,not_consulted,noun,the action or process of blocking the detection of a painful or injurious stimulus by sensory neurons,2026-08-14
camptosaurus,2,3,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
carpetgrass,2,3,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
coniferales,2,3,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
cotransmission,2,3,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
cromagnon,2,3,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
cyclobutanones,2,3,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
daddying,2,3,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
deoccupied,2,3,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
derussification,2,3,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
diderm,2,3,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
difluoroamino,2,3,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
diisopropylphenyl,2,3,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
dumbshows,2,3,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
echotexture,2,3,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
ecomodernist,2,3,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
